private_uri,label,type,wikidata_uri,confidence
http://moviekg.local/resource/movie_133200,Masquerade,Movie,http://www.wikidata.org/entity/Q11936114,0.5
http://moviekg.local/resource/movie_1362514,House on Eden,Movie,http://www.wikidata.org/entity/Q135475918,1.0
http://moviekg.local/resource/movie_1363123,The Family Plan 2,Movie,http://www.wikidata.org/entity/Q132682968,1.0
http://moviekg.local/resource/movie_1367642,Reminders of Him,Movie,http://www.wikidata.org/entity/Q133886934,1.0
http://moviekg.local/resource/movie_1367763,Lilly Lives Alone,Movie,NOT_FOUND,0.0
http://moviekg.local/resource/movie_1368166,The Housemaid,Movie,http://www.wikidata.org/entity/Q49729,1.0
http://moviekg.local/resource/movie_1381027,Good Boy,Movie,http://www.wikidata.org/entity/Q133427678,1.0
http://moviekg.local/resource/movie_1381216,Lake Jesup: Bonecrusher's Revenge,Movie,NOT_FOUND,0.0
http://moviekg.local/resource/movie_1387382,Hunting Season,Movie,http://www.wikidata.org/entity/Q367228,1.0
http://moviekg.local/resource/movie_1401778,Turbulence,Movie,http://www.wikidata.org/entity/Q727775,1.0
http://moviekg.local/resource/movie_1419406,The Shadow's Edge,Movie,http://www.wikidata.org/entity/Q135919148,1.0
http://moviekg.local/resource/movie_1424965,Ice Skater,Movie,http://www.wikidata.org/entity/Q138507601,0.8
http://moviekg.local/resource/movie_14262,Desperate Living,Movie,http://www.wikidata.org/entity/Q2017468,1.0
http://moviekg.local/resource/movie_1426297,Play Dead,Movie,http://www.wikidata.org/entity/Q3392098,0.5
http://moviekg.local/resource/movie_1426964,State of Fear,Movie,http://www.wikidata.org/entity/Q7603743,0.8
http://moviekg.local/resource/movie_1439112,Muzzle: City of Wolves,Movie,http://www.wikidata.org/entity/Q136432677,1.0
http://moviekg.local/resource/movie_14671,Summer School,Movie,http://www.wikidata.org/entity/Q1518770,1.0
http://moviekg.local/resource/movie_14778,Last Orders,Movie,http://www.wikidata.org/entity/Q3423109,1.0
http://moviekg.local/resource/movie_1488684,The Robbers,Movie,http://www.wikidata.org/entity/Q7761193,1.0
http://moviekg.local/resource/movie_1511417,Bāhubali: The Epic,Movie,NOT_FOUND,0.0
http://moviekg.local/resource/movie_1516744,Shall we Dance?,Movie,http://www.wikidata.org/entity/Q72450,1.0
http://moviekg.local/resource/movie_1523145,Your Heart Will Be Broken,Movie,NOT_FOUND,0.0
http://moviekg.local/resource/movie_1539104,JUJUTSU KAISEN: Execution,Movie,http://www.wikidata.org/entity/Q136436677,1.0
http://moviekg.local/resource/movie_1572073,The Deadly Little Mermaid,Movie,NOT_FOUND,0.0
http://moviekg.local/resource/movie_1582770,Dhurandhar: The Revenge,Movie,http://www.wikidata.org/entity/Q137998501,1.0
http://moviekg.local/resource/movie_1611398,Un hombre por semana,Movie,NOT_FOUND,0.0
http://moviekg.local/resource/movie_1634301,Vanaveera,Movie,http://www.wikidata.org/entity/Q137844961,1.0
http://moviekg.local/resource/movie_16415,Sweet 'n Short,Movie,http://www.wikidata.org/entity/Q7655177,1.0
http://moviekg.local/resource/movie_1646787,Sundutan,Movie,http://www.wikidata.org/entity/Q13545907,0.5
